session,time,strategy,coin,event,ticker,side,contracts,price,multiplier,fee,cost,payout,pnl,result,strike,btc_price,final_value,balance_after,model_prob,edge,why,tau,yes_bid,yes_ask,mkt_prob
20260920_222952,2026-09-20T22:43:29,Anti Late,SOL,BET,KXSOL15M-26SEP210145-45,DOWN,1,0.87,1.15,0.01,0.88,,,,111.9588,111.88,,1008.37,0.767,-0.111,entry,91,0.14,0.15,0.145
20260920_222952,2026-09-20T22:43:32,Scalper,SOL,BET,KXSOL15M-26SEP210145-45,UP,23,0.07,14.08,0.11,1.74,,,,111.9588,111.86,,1000.41,0.112,0.036,entry,88,0.06,0.061,0.06
20260920_222952,2026-09-20T22:43:32,Anti Scalper,SOL,BET,KXSOL15M-26SEP210145-45,DOWN,1,0.95,1.05,0.01,0.96,,,,111.9588,111.86,,983.82,0.888,-0.065,entry,88,0.06,0.061,0.06
20260920_222952,2026-09-20T22:43:32,Scalper,DOGE,BET,KXDOGE15M-26SEP210145-45,UP,92,0.13,7.69,0.73,12.69,,,,0.088635,0.08858,,994.92,0.184,0.046,entry,88,0.099,0.12,0.11
20260920_222952,2026-09-20T22:43:32,Anti Scalper,DOGE,BET,KXDOGE15M-26SEP210145-45,DOWN,13,0.91,1.1,0.08,11.92,,,,0.088635,0.08858,,983.7,0.816,-0.101,entry,88,0.099,0.12,0.11
20260920_222952,2026-09-20T22:43:38,Scalper,BTC,BET,KXBTC15M-26SEP210145-45,DOWN,30,0.36,2.78,0.49,11.29,,,,81595.01,81599.96,,996.77,0.407,0.031,entry,82,0.65,0.66,0.655
20260920_222952,2026-09-20T22:43:38,Anti Scalper,BTC,BET,KXBTC15M-26SEP210145-45,UP,16,0.67,1.49,0.25,10.97,,,,81595.01,81599.96,,981.06,0.593,-0.092,entry,82,0.65,0.66,0.655
20260920_222952,2026-09-20T22:43:47,Scalper,SOL,BET,KXSOL15M-26SEP210145-45,UP,132,0.06,15.87,0.55,8.87,,,,111.9588,111.87,,1009.8,0.103,0.036,entry,73,0.052,0.053,0.052
20260920_222952,2026-09-20T22:43:47,Anti Scalper,SOL,BET,KXSOL15M-26SEP210145-45,DOWN,3,0.96,1.04,0.01,2.88,,,,111.9588,111.87,,975.72,0.897,-0.064,entry,73,0.052,0.053,0.052
20260920_222952,2026-09-20T22:43:49,Scalper,BTC,BET,KXBTC15M-26SEP210145-45,DOWN,38,0.34,2.94,0.6,13.52,,,,81595.01,81599.96,,990.82,0.395,0.039,entry,71,0.67,0.68,0.675
20260920_222952,2026-09-20T22:43:49,Anti Scalper,BTC,BET,KXBTC15M-26SEP210145-45,UP,10,0.69,1.45,0.15,7.05,,,,81595.01,81599.96,,982.04,0.605,-0.1,entry,71,0.67,0.68,0.675
20260920_222952,2026-09-20T22:43:56,Scalper,SOL,BET,KXSOL15M-26SEP210145-45,UP,28,0.09,11.36,0.16,2.62,,,,111.9588,111.89,,965.28,0.134,0.04,entry,64,0.072,0.078,0.075
20260920_222952,2026-09-20T22:43:56,Anti Scalper,SOL,BET,KXSOL15M-26SEP210145-45,DOWN,2,0.94,1.07,0.01,1.89,,,,111.9588,111.89,,991.35,0.866,-0.076,entry,64,0.072,0.078,0.075
20260920_222952,2026-09-20T22:43:57,Scalper,BTC,BET,KXBTC15M-26SEP210145-45,DOWN,66,0.19,5.26,0.72,13.26,,,,81595.01,81606.55,,949.18,0.262,0.061,entry,63,0.82,0.83,0.825
20260920_222952,2026-09-20T22:43:57,Anti Scalper,BTC,BET,KXBTC15M-26SEP210145-45,UP,1,0.84,1.19,0.01,0.85,,,,81595.01,81606.55,,997.1,0.738,-0.111,entry,63,0.82,0.83,0.825
20260920_222952,2026-09-20T22:44:06,Scalper,BTC,BET,KXBTC15M-26SEP210145-45,DOWN,135,0.09,10.87,0.79,13.21,,,,81595.01,81610.53,,911.72,0.167,0.07,entry,54,0.918,0.919,0.919
20260920_222952,2026-09-20T22:44:06,Anti Scalper,BTC,BET,KXBTC15M-26SEP210145-45,UP,14,0.93,1.08,0.07,13.08,,,,81595.01,81610.53,,1007.32,0.833,-0.101,entry,54,0.918,0.919,0.919
20260920_222952,2026-09-20T22:45:01,Model,ETH,SETTLED,KXETH15M-26SEP210145-45,DOWN,50,0.38,2.63,0.83,19.83,50.0,30.17,no,2669.76,2667.1,2666.81,1158.78,0.447,0.051,,-2,0.0,0.001,0.001
20260920_222952,2026-09-20T22:45:01,Favorite,ETH,SETTLED,KXETH15M-26SEP210145-45,DOWN,7,0.87,1.15,0.06,6.15,7.0,0.85,no,2669.76,2667.1,2666.81,1028.91,0.881,0.003,,-2,0.0,0.001,0.001
20260920_222952,2026-09-20T22:45:01,Anti Model,ETH,SETTLED,KXETH15M-26SEP210145-45,UP,29,0.65,1.54,0.47,19.32,0.0,-19.32,no,2669.76,2667.1,2666.81,980.68,0.553,-0.113,,-2,0.0,0.001,0.001
20260920_222952,2026-09-20T22:45:01,Anti Favorite,ETH,SETTLED,KXETH15M-26SEP210145-45,UP,36,0.16,6.25,0.34,6.1,0.0,-6.1,no,2669.76,2667.1,2666.81,993.9,0.119,-0.05,,-2,0.0,0.001,0.001
20260920_222952,2026-09-20T22:45:02,Value,SOL,SETTLED,KXSOL15M-26SEP210145-45,UP,10,0.2,5.0,0.12,2.12,0.0,-2.12,no,111.9588,111.91,111.9007,998.69,0.254,0.042,,-3,0.0,0.001,0.001
20260920_222952,2026-09-20T22:45:02,Model,SOL,SETTLED,KXSOL15M-26SEP210145-45,UP,1,0.2,5.0,0.02,0.22,0.0,-0.22,no,111.9588,111.91,111.9007,1158.56,0.322,0.111,,-3,0.0,0.001,0.001
